x_value,theta,r
15,189.59375,157.0
15,190.953125,160.25
15,192.3125,164.25
15,202.671875,233.5
15,204.03125,238.5
15,203.65625,237.5
15,206.75,219.5
15,206.859375,216.5
15,209.46875,216.75
15,210.25,212.75
15,212.296875,211.25
15,213.671875,209.0
15,215.03125,207.0
15,215.515625,205.25
15,217.765625,203.5
15,219.125,202.5
15,220.484375,201.25
15,221.859375,200.5
15,223.21875,199.75
15,224.578125,199.25
15,225.953125,199.25
15,227.3125,199.25
15,228.6875,199.75
15,230.046875,200.25
15,231.40625,201.0
15,232.765625,202.25
15,234.109375,203.0
15,235.453125,204.75
15,236.6875,207.0
15,238.1875,209.5
15,238.296875,213.25
15,242.109375,233.25
15,244.5,240.25
15,249.359375,297.25
15,250.1875,307.0
15,251.734375,318.0
15,252.328125,330.75
15,259.75,432.0
15,261.15625,421.25
15,262.796875,415.75
15,264.171875,416.0
15,265.1875,423.75
15,269.578125,1550.0
15,270.921875,1548.75
15,272.34375,1546.75
15,273.65625,1546.5
15,275.015625,1546.25
15,276.21875,1548.0
15,277.546875,1549.0
15,278.9375,1549.75
15,280.296875,1554.0
15,281.65625,1558.75
15,282.984375,1570.25
15,284.359375,1572.75
15,285.6875,1576.75
15,287.015625,1594.25
15,292.625,583.5
13,295.140625,624.0
15,296.5,671.0
15,297.828125,660.5
15,301.9375,697.5
15,305.140625,1149.5
15,306.5,1108.75
15,308.03125,1067.0
15,309.421875,1033.0
15,312.578125,747.25
12,314.046875,741.0
15,315.46875,734.0
7,316.734375,732.25
15,320.171875,360.5
15,322.0625,819.25
15,323.40625,802.75
15,324.71875,787.25
15,327.53125,760.0
15,328.859375,747.0
9,330.5,654.75
15,331.890625,658.75
11,334.984375,549.5
15,336.328125,556.5
15,337.546875,578.0
15,339.125,545.5
15,340.46875,540.75
15,341.8125,538.0
9,348.328125,217.0
15,345.71875,571.75
15,347.078125,611.25
15,348.296875,651.0
14,349.75,625.25
15,353.3125,330.0
15,0.625,624.25
15,2.0,631.75
15,3.515625,601.25
15,4.75,620.25
15,5.984375,626.5
10,7.8125,538.75
